epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,32060.8,0.94774,1.29158,0.00711,0.86316,0.81675,0.87757,0.66715,0.90163,0.60051,0.01099,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
72,32508.5,0.93554,1.29965,0.00704,0.85991,0.82006,0.88208,0.67076,0.89357,0.59707,0.01078,0.0247282,0.00824275,0.0247282,0.00824275,0.0247282,0.00824275,0.0247282,0.00824275
73,32957.5,0.95064,1.2753,0.00681,0.86056,0.81926,0.87933,0.66725,0.88423,0.58893,0.00983,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
74,33406.2,0.9508,1.28774,0.00702,0.86864,0.81353,0.88175,0.67015,0.88071,0.59103,0.00967,0.0245797,0.00819325,0.0245797,0.00819325,0.0245797,0.00819325,0.0245797,0.00819325
75,33857,0.95217,1.286,0.00713,0.86838,0.81565,0.88425,0.68274,0.85522,0.59725,0.00852,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
76,34306.6,0.94069,1.27831,0.00691,0.86663,0.81827,0.88025,0.67668,0.87139,0.58744,0.00927,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
77,34754.9,0.93633,1.28588,0.00687,0.87168,0.80939,0.87973,0.6721,0.88707,0.6063,0.01041,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
78,35204.2,0.93751,1.28405,0.00691,0.88511,0.81558,0.88284,0.67572,0.88114,0.58948,0.01043,0.0242827,0.00809425,0.0242827,0.00809425,0.0242827,0.00809425,0.0242827,0.00809425
79,35652.4,0.94374,1.26597,0.00703,0.88198,0.83124,0.88723,0.67628,0.87569,0.58145,0.00978,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
80,36101.4,0.94591,1.28976,0.00703,0.87017,0.82644,0.88553,0.67584,0.87219,0.5831,0.00949,0.0241342,0.00804475,0.0241342,0.00804475,0.0241342,0.00804475,0.0241342,0.00804475
81,36548.3,0.93995,1.26863,0.00682,0.88737,0.78479,0.88021,0.67727,0.86201,0.57871,0.00914,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
82,36997.8,0.94712,1.2721,0.00694,0.86106,0.81773,0.88115,0.6785,0.85303,0.58504,0.00874,0.0239858,0.00799525,0.0239858,0.00799525,0.0239858,0.00799525,0.0239858,0.00799525
83,37446.2,0.93385,1.27183,0.00692,0.84829,0.83834,0.88056,0.67306,0.87021,0.58391,0.00969,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
84,37894.7,0.93345,1.28418,0.00696,0.87216,0.82717,0.88697,0.67657,0.87997,0.58655,0.01051,0.0238373,0.00794575,0.0238373,0.00794575,0.0238373,0.00794575,0.0238373,0.00794575
85,38342.8,0.93727,1.25992,0.00693,0.85909,0.82853,0.88112,0.67158,0.88348,0.58293,0.01051,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
86,38792.9,0.92533,1.29503,0.0068,0.86961,0.81919,0.88634,0.67882,0.8792,0.59427,0.01044,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
87,39243.1,0.93369,1.27244,0.00682,0.8583,0.83723,0.88422,0.67722,0.8873,0.5877,0.01072,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
88,39691.5,0.93601,1.27024,0.00695,0.86457,0.82942,0.88486,0.67546,0.89228,0.58746,0.01079,0.0235402,0.00784675,0.0235402,0.00784675,0.0235402,0.00784675,0.0235402,0.00784675
89,40140.7,0.92636,1.27188,0.00671,0.85494,0.8385,0.88546,0.67559,0.88566,0.57995,0.01051,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
90,40589.8,0.92468,1.24639,0.00681,0.8772,0.83143,0.88665,0.67644,0.88514,0.5807,0.01062,0.0233917,0.00779725,0.0233917,0.00779725,0.0233917,0.00779725,0.0233917,0.00779725
91,41041,0.92363,1.26389,0.00681,0.8693,0.84291,0.88494,0.67506,0.89189,0.58227,0.011,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
92,41489,0.92925,1.24799,0.00676,0.8848,0.81651,0.88684,0.67611,0.89485,0.57831,0.0109,0.0232433,0.00774775,0.0232433,0.00774775,0.0232433,0.00774775,0.0232433,0.00774775
93,41947.1,0.92697,1.26744,0.00676,0.87388,0.8068,0.87925,0.67123,0.88517,0.58879,0.01055,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
94,42398.3,0.92346,1.24637,0.00675,0.85248,0.83337,0.88286,0.6725,0.88597,0.58728,0.01066,0.0230947,0.00769825,0.0230947,0.00769825,0.0230947,0.00769825,0.0230947,0.00769825
95,42839,0.92971,1.26438,0.00693,0.86257,0.8267,0.8852,0.67696,0.8871,0.59076,0.01087,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
